id;url;task_id;device_id;account_id;last_update
1;http://melyssa.info;44358;97650;14675;2021-12-17T02:29:57
2;https://karli.org;71857;26911;63104;2021-12-17T17:04:48
3;https://holden.com;92108;70290;98980;2021-12-17T05:57:38
4;http://laron.org;58244;26372;20957;2021-12-17T02:48:35
5;http://rosemarie.info;6166;48852;82000;2021-12-17T23:58:14
6;https://cloyd.biz;65539;80888;97953;2021-12-17T12:30:17
7;https://wava.name;75981;10094;82204;2021-12-17T05:48:22
8;http://tod.com;53471;60462;91835;2021-12-17T20:02:03
9;https://luis.org;31909;87283;75745;2021-12-17T06:58:58
10;http://alicia.biz;14245;46613;52675;2021-12-17T03:22:16
